"","tract","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"393","17031020500","2011","PEDESTRIAN",7,8,0,1,5,2
"394","17031020500","2011","Vehicle/Other",147,12,0,0,8,4
"395","17031020500","2012","PEDALCYCLIST",5,5,0,1,4,0
"396","17031020500","2012","PEDESTRIAN",5,5,0,0,3,2
"397","17031020500","2012","Vehicle/Other",151,30,0,3,18,9
"398","17031020500","2013","PEDALCYCLIST",5,4,0,2,2,0
"399","17031020500","2013","PEDESTRIAN",8,9,0,4,5,0
"400","17031020500","2013","Vehicle/Other",135,9,0,0,6,3
"401","17031020500","2014","PEDALCYCLIST",3,3,0,1,2,0
"402","17031020500","2014","PEDESTRIAN",7,8,0,2,6,0
"403","17031020500","2014","Vehicle/Other",163,28,0,2,18,8
"404","17031020500","2015","PEDALCYCLIST",3,3,0,0,2,1
"405","17031020500","2015","PEDESTRIAN",11,10,0,1,9,0
"406","17031020500","2015","Vehicle/Other",154,20,0,3,14,3
"407","17031020500","2016","PEDALCYCLIST",2,2,0,0,1,1
"408","17031020500","2016","PEDESTRIAN",9,9,0,0,5,4
"409","17031020500","2016","Vehicle/Other",142,15,0,1,6,8
